id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,recharge,countries
64,Nigeria 1GB,0,Africa,2,1,7,nigercell-7days-1gb,8.50,6.50,4.80,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:53,\N,1,0,
65,Aruba 1GB,0,Caribbean,2,1,7,noord-communications-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:36,\N,1,0,
66,Barbados 1GB,0,Caribbean,2,1,7,barbnet-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:37,\N,1,0,
67,Seychelles 1GB,0,Africa,2,1,7,laziocom-7days-1gb,7.00,6.00,4.40,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:57,\N,1,0,
68,Mali 1GB,0,Africa,2,1,7,maliconnected-7days-1gb,7.50,6.25,4.70,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:50,\N,1,0,
69,Cayman Islands 1GB,0,Caribbean,2,1,7,atlantis-telecom-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:39,\N,1,0,
70,Bonaire 1GB,0,Caribbean,2,1,7,hatonet-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:37,\N,1,0,
71,Thailand 1GB,0,Asia,2,1,7,esim_1GB_7D_TH_V2,5.00,3.20,2.28,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:59,\N,3,0,
72,Antigua & Barbuda 1GB,0,Caribbean,2,1,7,17-miles-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,1,0,
73,Vietnam 1GB,0,Asia,2,1,7,esim_1GB_7D_VN_V2,5.00,3.50,2.86,0,0,0,2023-06-24 13:26:02,2024-04-09 16:50:01,\N,3,0,
