41,Plan for Latvia,false,Europe,2,1,7,esimgnr_1GB_7D_LV_U,5,2.5,1.7,false,false,false,2023-06-24T08:26:01.401Z,2023-07-21T07:52:41.000Z,,,120,Latvia,LV,LV,LVA,371,2023-06-24T08:13:46.348Z,2023-06-24T08:14:51.000Z
42,Plan for Gabon,false,Africa,2,1,7,esimgnr_1GB_7D_GA_U,10,8,9.8,false,false,false,2023-06-24T08:26:01.402Z,2023-07-21T07:52:35.000Z,,,79,Gabon,GA,GA,GAB,241,2023-06-24T08:13:46.348Z,2023-06-24T08:14:28.000Z
44,Plan for Ghana,false,Africa,2,1,7,esimgnr_1GB_7D_GH_U,6,5,9.8,false,false,false,2023-06-24T08:26:01.403Z,2023-07-21T07:52:36.000Z,,,83,Ghana,GH,GH,GHA,233,2023-06-24T08:13:46.348Z,2023-06-24T08:14:29.000Z
48,Plan for Malawi,false,Africa,2,1,7,esimgnr_1GB_7D_MW_U,15,12,9.8,false,false,false,2023-06-24T08:26:01.423Z,2023-07-21T07:52:36.000Z,,,131,Malawi,MW,MW,MWI,265,2023-06-24T08:13:46.348Z,2023-06-24T08:14:57.000Z
49,Plan for Hungary,false,Europe,2,1,7,esimgnr_1GB_7D_HU_U,5,2.5,1.7,false,false,false,2023-06-24T08:26:01.423Z,2023-07-21T07:52:41.000Z,,,99,Hungary,HU,HU,HUN,36,2023-06-24T08:13:46.348Z,2023-06-24T08:14:38.000Z
51,Plan for Cameroon,false,Africa,2,1,7,esimgnr_1GB_7D_CM_U,12,9,7.5,false,false,false,2023-06-24T08:26:01.440Z,2023-07-21T07:52:36.000Z,,,38,Cameroon,CM,CM,CMR,237,2023-06-24T08:13:46.348Z,2023-06-24T08:14:07.000Z
53,Plan for Morocco,false,Africa,2,1,7,esimgnr_1GB_7D_MA_U,12,9,7.5,false,false,false,2023-06-24T08:26:01.441Z,2023-07-21T07:52:36.000Z,,,149,Morocco,MA,MA,MAR,212,2023-06-24T08:13:46.348Z,2023-06-24T08:15:06.000Z
54,Plan for Greece,false,Europe,2,1,7,esimgnr_1GB_7D_GR_U,5,2.5,1.7,false,false,false,2023-06-24T08:26:01.442Z,2023-07-21T07:52:41.000Z,,,85,Greece,GR,GR,GRC,30,2023-06-24T08:13:46.348Z,2023-06-24T08:14:30.000Z
55,Plan for Guinea Bissau,false,Africa,2,1,7,esimgnr_1GB_7D_GW_U,15,12,9.8,false,false,false,2023-06-24T08:26:01.442Z,2023-07-21T07:52:36.000Z,,,93,Guinea-Bissau,GW,GW,GNB,245,2023-06-24T08:13:46.348Z,2023-06-24T08:14:34.000Z
56,Plan for Liberia,false,Africa,2,1,7,esimgnr_1GB_7D_LR_U,15,12,9.8,false,false,false,2023-06-24T08:26:01.443Z,2023-07-21T07:52:36.000Z,,,123,Liberia,LR,LR,LBR,231,2023-06-24T08:13:46.348Z,2023-06-24T08:14:53.000Z
