id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,countries,recharge
840,Africa UNL 7D,0,Africa,2,Unlimited,7,esim_UL_7D_RAF_V2,75,70,60.53,0,0,0,2024-04-09 16:49:34,2024-04-09 16:49:34,\N,3,,0
539,Africa-11 10GB,0,Africa,2,10,30,esim_10GB_30D_RAF_V2,65,60,52.81,0,0,1,2023-06-24 13:26:03,2024-04-09 16:49:34,\N,3,,0
5,Africa-11 1GB,0,Africa,2,1,7,esim_1GB_7D_RAF_V2,10,8.5,6.48,0,0,1,2023-06-24 13:26:01,2024-04-09 16:49:34,\N,3,,0
550,Africa-11 20GB,0,Africa,2,20,30,esim_20GB_30D_RAF_V2,125,110,94.85,0,0,1,2023-06-24 13:26:03,2024-04-09 16:49:34,\N,3,,0
841,Africa-11 2GB,0,Africa,2,2,15,esim_2GB_15D_RAF_V2,20,16,12.49,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
547,Africa-11 3GB,0,Africa,2,3,30,esim_3GB_30D_RAF_V2,25,22,17.46,0,0,1,2023-06-24 13:26:03,2024-04-09 16:49:34,\N,3,,0
541,Africa-11 5GB,0,Africa,2,5,30,esim_5GB_30D_RAF_V2,45,35,28.79,0,0,1,2023-06-24 13:26:03,2024-04-09 16:49:34,\N,3,,0
788,Africa-24 10GB,0,Africa,2,10,365,14,165,160,0,0,0,1,2023-09-14 11:19:52,2024-04-09 16:49:34,2023-11-17 18:50:14,2,,0
598,Africa-24 10GB,0,Africa,2,10,30,14,150,140,131.56,0,0,1,2023-06-24 13:26:03,2024-04-09 16:49:34,2023-11-17 18:54:57,2,,0
825,Africa-24 1GB,0,Africa,2,1,7,21,9,7.5,0,0,0,1,2024-03-14 14:32:11,2024-04-09 16:49:34,\N,2,,0
