id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,recharge_only,platinum_price,countries
58,Niger 1GB,0,Africa,2,1,7,letecom-7days-1gb,9.50,8.00,6.00,0,0,0,26:01.4,07:21.7,\N,1,0,7.00,NER
59,Tanzania 1GB,0,Africa,2,1,7,tanzacomm-7days-1gb,4.50,3.50,2.50,0,0,0,26:01.5,07:21.7,\N,1,0,3.00,TZA
60,South Africa 1GB,0,Africa,2,1,7,cellsa-7days-1gb,4.50,3.50,2.50,0,0,0,26:01.5,07:21.7,\N,1,0,3.00,ZAF
62,Zambia 1GB,0,Africa,2,1,7,esim_1GB_7D_ZM_V2,9.50,8.00,6.90,0,0,0,26:01.5,07:21.7,\N,3,0,7.50,ZMB
63,Senegal 1GB,0,Africa,2,1,7,retba-mobile-7days-1gb,6.00,4.80,3.60,0,0,0,26:01.5,07:21.7,\N,1,0,4.20,SEN
64,Nigeria 1GB,0,Africa,2,1,7,nigercell-7days-1gb,8.50,6.50,4.80,0,0,0,26:01.5,07:21.7,\N,1,0,5.70,NGA
65,Aruba 1GB,0,Caribbean,2,1,7,esim_1GB_7D_AW_V2,12.00,10.00,7.46,0,0,0,26:01.5,07:21.7,\N,3,0,8.80,ABW
66,Barbados 1GB,0,Caribbean,2,1,7,esim_1GB_7D_BB_V2,12.00,10.00,7.46,0,0,0,26:01.5,07:21.7,\N,3,0,8.80,BRB
67,Seychelles 1GB,0,Africa,2,1,7,laziocom-7days-1gb,7.50,6.00,4.40,0,0,0,26:01.5,07:21.7,\N,1,0,5.20,SYC
68,Mali 1GB,0,Africa,2,1,7,maliconnected-7days-1gb,7.50,6.25,4.70,0,0,0,26:01.5,07:21.7,\N,1,0,5.50,MLI
69,Cayman Islands 1GB,0,Caribbean,2,1,7,esim_1GB_7D_KY_V2,12.00,10.00,7.46,0,0,0,26:01.5,07:21.7,\N,3,0,8.80,CYM
70,Bonaire 1GB,0,Caribbean,2,1,7,esim_1GB_7D_BQ_V2,12.00,10.00,7.46,0,0,0,26:01.5,07:21.7,\N,3,0,8.80,BES
71,Thailand 1GB,0,Asia,2,1,7,esim_1GB_7D_TH_V2,5.00,3.20,2.28,0,0,0,26:01.5,07:21.7,\N,3,0,2.80,THA
72,Antigua & Barbuda 1GB,0,Caribbean,2,1,7,esim_1GB_7D_AG_V2,12.00,10.00,7.46,0,0,0,26:01.5,07:21.7,\N,3,0,8.80,ATG
73,Vietnam 1GB,0,Asia,2,1,7,esim_1GB_7D_VN_V2,5.00,3.50,2.86,0,0,0,26:01.5,07:21.7,\N,3,0,3.20,VNM
74,French Guiana 1GB,0,Caribbean,2,1,7,kawcom-7days-1gb,4.50,3.00,1.00,0,0,0,26:01.5,07:21.7,\N,1,0,2.00,GUF
75,Guadeloupe 1GB,0,Caribbean,2,1,7,guanet-7days-1gb,4.50,3.00,2.10,0,0,0,26:01.5,07:21.7,\N,1,0,2.60,"GLP, GLP"
76,Grenada 1GB,0,Caribbean,2,1,7,esim_1GB_7D_GD_V2,12.00,10.00,7.46,0,0,0,26:01.5,07:21.7,\N,1,0,8.80,GRD
77,Uganda 1GB,0,Africa,2,1,7,esim_1GB_7D_UG_V2,9.50,6.50,5.17,0,0,0,26:01.5,07:21.7,\N,3,0,5.90,UGA
78,Haiti 1GB,0,Caribbean,2,1,7,esim_1GB_7D_HT_V2,12.00,10.00,7.46,0,0,0,26:01.5,07:21.7,\N,1,0,8.80,HTI
79,Zimbabwe 1GB,0,Africa,2,1,7,zimcom-7days-1gb,10.00,9.50,8.10,0,0,0,26:01.5,07:21.7,\N,1,0,8.80,ZWE
80,Trinidad & Tobago 1GB,0,Caribbean,2,1,7,esim_1GB_7D_TT_V2,12.00,10.00,7.46,0,0,0,26:01.5,07:21.7,\N,1,0,8.80,TTO
81,Panama 1GB,0,LATAM,2,1,7,esim_1GB_7D_PA_V2,12.00,9.00,6.90,0,0,0,26:01.5,07:21.7,\N,3,0,8.00,PAN
82,El Salvador,0,LATAM,2,1,7,esim_1GB_7D_SV_V2,6.50,5.00,3.34,0,0,0,26:01.5,07:21.7,\N,3,0,4.20,SLV
83,Paraguay 1GB,0,LATAM,2,1,7,esim_1GB_7D_PY_V2,12.00,9.50,8.06,0,0,0,26:01.5,07:21.7,\N,3,0,8.80,PRY
84,Peru 1GB,0,LATAM,2,1,7,esim_1GB_7D_PE_V2,8.00,6.00,3.34,0,0,0,26:01.5,07:21.7,\N,3,0,4.70,PER
85,Puerto Rico 1GB,0,LATAM,2,1,7,boricua-mobile-7days-1gb,4.50,3.10,1.70,0,0,0,26:01.5,07:21.7,\N,1,0,2.40,PRI
86,British Virgin Islands 1GB,0,Caribbean,2,1,7,esim_1GB_7D_VG_V2,12.00,10.00,7.46,0,0,0,26:01.6,07:21.7,\N,1,0,8.80,VGB
87,Tonga 1GB,0,Oceania,2,1,7,tofua-mobile-7days-1gb,5.50,4.50,3.10,0,0,0,26:01.6,07:21.7,\N,1,0,3.80,TON
88,Turks & Caicos 1GB,0,Caribbean,2,1,7,esim_1GB_7D_TC_V2,12.00,10.00,7.46,0,0,0,26:01.6,07:21.7,\N,3,0,8.80,TCA
