id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,countries
799,Africa-29 1GB,0,Africa,2,1,7,CKH495,22,15,10.9,0,0,1,2023-12-08 20:42:30,2024-02-09 17:33:23,\N,4,"BW,BF,CF,TD,CG,CD,CI,EG,GA,GH,GW,KE,LR,MG,MW,ML,MA,NE,NG,RE,SN,SC,ZA,SD,SZ,TZ,TN,UG,ZM"
804,Africa-29 3GB,0,Africa,2,3,30,P1XXDOD0C,40,36,29,0,0,1,2023-12-08 23:17:01,2024-02-09 17:33:23,\N,4,"BW,BF,CF,TD,CG,CD,CI,EG,GA,GH,GW,KE,LR,MG,MW,ML,MA,NE,NG,RE,SN,SC,ZA,SD,SZ,TZ,TN,UG,ZM"
805,Africa-29 5GB,0,Africa,2,5,30,CKH497,60,55,43,0,0,1,2023-12-08 23:20:56,2024-02-09 17:33:23,\N,4,"BW,BF,CF,TD,CG,CD,CI,EG,GA,GH,GW,KE,LR,MG,MW,ML,MA,NE,NG,RE,SN,SC,ZA,SD,SZ,TZ,TN,UG,ZM"
823,Africa-37 1GB,0,Africa,2,1,30,hello-africa-30days-1gb,27,20,12,0,0,1,2024-03-11 22:26:41,2024-03-15 13:27:49,\N,1,"DZ,BJ,BW,BF,CM,CV,CF,TD,CG,CD,CI,EG,GA,GM,GH,GN,GW,KE,LR,MG,MW,ML,MR,MU,NA,NG,RW,SN,SC,SL,ZA,SD,TZ,TG,UG,ZM,SZ"
824,Africa-37 3GB,0,Africa,2,3,30,hello-africa-30days-3gb,59,45,26,0,0,1,2024-03-11 22:30:43,2024-03-15 13:30:18,\N,1,"DZ,BJ,BW,BF,CM,CV,CF,TD,CG,CD,CI,EG,GA,GM,GH,GN,GW,KE,LR,MG,MW,ML,MR,MU,NA,NG,RW,SN,SC,SL,ZA,SD,TZ,TG,UG,ZM,SZ"
614,Albania 10GB,0,Eastern Europe,2,10,30,esim_10GB_30D_AL_V2,26,24,16.18,0,0,0,2023-09-04 16:06:55,2023-09-04 16:07:17,\N,3,AL
129,Albania 1GB,0,Europe,2,1,7,esim_1GB_7D_AL_V2,4.5,3.25,2.28,0,0,0,2023-06-24 13:26:02,2024-01-21 16:01:13,\N,3,AL
0,Albania 2GB,0,Eastern Europe,2,2,15,esim_2GB_15D_AL_V2,8,7,4.08,0,0,0,,,,3,AL
164,Albania 3GB,0,Eastern Europe,2,3,30,esim_3GB_30D_AL_V2,11,10.5,5.57,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:42,\N,3,AL
0,Albania 50GB,0,Eastern Europe,2,50,30,esim_50GB_30D_AL_V2,100,85,64.82,0,0,0,,,,3,AL
263,Albania 5GB,0,Eastern Europe,2,5,30,esim_5GB_30D_AL_V2,15.5,13.5,8.97,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:43,\N,3,AL
0,Albania UNL 10D,0,Eastern Europe,2,Unlimited,10,esim_UL_10D_AL_V2,40,34,26.21,0,0,0,,,,3,AL
0,Albania UNL 15D,0,Eastern Europe,2,Unlimited,15,esim_UL_15D_AL_V2,50,45,39.08,0,0,0,,,,3,AL
0,Albania UNL 1D,0,Eastern Europe,2,Unlimited,1,esim_UL_1D_AL_V2,7.5,4.5,3.05,0,0,0,,,,3,AL
0,Albania UNL 30D,0,Eastern Europe,2,Unlimited,30,esim_UL_30D_AL_V2,100,90,77.69,0,0,0,,,,3,AL
0,Albania UNL 3D,0,Eastern Europe,2,Unlimited,3,esim_UL_3D_AL_V2,20,15,8.2,0,0,0,,,,3,AL
0,Albania UNL 5D,0,Eastern Europe,2,Unlimited,5,esim_UL_5D_AL_V2,28,18,13.34,0,0,0,,,,3,AL
0,Albania UNL 7D,0,Eastern Europe,2,Unlimited,7,esim_UL_7D_AL_V2,36,25,18.49,0,0,0,,,,3,AL
396,Algeria 10GB,0,Africa,2,10,30,algecom-30days-10gb,49,43.25,37.5,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:38,\N,1,DZ
143,Algeria 1GB,0,Africa,2,1,7,algecom-7days-1gb,7,5.5,4,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:35,\N,1,DZ
0,Algeria 2GB,0,Africa,2,2,15,algecom-15days-2gb,13,10.4,7.8,0,0,0,,,,1,DZ
154,Algeria 3GB,0,Africa,2,3,30,algecom-30days-3gb,17.5,14.55,11.6,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:37,\N,1,DZ
